lon,lat,count
113.83272,30.491452,51
113.83628,30.442778,142
113.846959,30.413573,838
113.846959,30.507028,554
113.882559,30.518709,252
113.921718,30.750399,926
113.939518,30.740664,357
113.943078,30.450566,18
113.967997,30.705618,332
113.971557,30.664732,498
113.975117,30.347376,497
113.989357,30.557649,981
114.010716,30.577118,622
114.014276,30.78155,761
114.021396,30.575172,6173
114.032076,30.760134,254
114.042756,30.598535,204
114.046316,30.619952,938
114.060556,30.631634,256
114.067675,30.429149,265
114.071235,30.505081,184
114.071235,30.727035,201
114.074795,30.405785,1047
114.074795,30.471982,149
114.089035,30.518709,599
114.089035,30.5888,178
114.092595,30.345429,18
114.092595,30.598535,184
114.096155,30.678361,1
114.103275,30.362952,323
114.103275,30.549861,87
114.103275,30.584906,730
114.110395,30.619952,70
114.110395,30.62774,26951
114.117515,30.534285,1739
114.121075,30.489505,15
114.121075,30.497293,6
114.124634,30.5888,773
114.124634,30.686149,25
114.128194,30.446672,1
114.128194,30.481717,5805
114.128194,30.614111,6378
114.131754,30.491452,46
114.131754,30.647209,14147
114.131754,30.678361,2026
114.142434,30.489505,1745
114.142434,30.497293,6979
114.145994,30.3318,405
114.149554,30.645262,1733
114.153114,30.452513,46
114.153114,30.616058,358
114.153114,30.682255,1
114.156674,30.582959,2
114.160234,30.643315,12
114.163794,30.89058,151
114.167354,30.919785,2403
114.170914,30.536232,4355
114.174474,30.487558,83
114.178033,30.641368,740
114.181593,30.491452,614
114.181593,30.647209,711
114.185153,30.505081,169
114.185153,30.540126,3277
114.185153,30.559596,995
114.185153,30.78155,1
114.188713,30.900315,2
114.192273,30.610217,14347
114.192273,30.629687,397
114.192273,30.703671,55
114.192273,30.76208,1799
114.195833,30.487558,714
114.202953,30.732876,556
114.202953,30.985982,5
114.206513,30.606323,4184
114.210073,30.569331,140
114.213633,30.906156,2
114.217193,30.60827,13668
114.224313,30.324013,161
114.224313,30.639421,8702
114.227873,30.65305,31415
114.231433,30.522603,4
114.231433,30.530391,2
114.234992,30.384369,525
114.234992,30.645262,337
114.234992,30.699777,3086
114.238552,30.39021,449
114.238552,30.518709,5821
114.238552,30.526497,13464
114.238552,30.549861,9169
114.238552,30.584906,93
114.238552,30.592694,4
114.245672,30.619952,12723
114.245672,30.662785,93
114.249232,30.115687,45
114.249232,30.536232,117
114.249232,30.54402,294
114.252792,30.732876,2216
114.252792,31.176785,81
114.256352,30.244187,14
114.256352,30.489505,23
114.259912,30.440831,2426
114.259912,30.604376,4155
114.263472,30.314278,25
114.263472,30.380475,1288
114.263472,30.567384,80
114.267032,30.452513,2549
114.267032,30.616058,32888
114.267032,30.682255,27
114.267032,30.767921,8009
114.270592,30.341535,423
114.270592,30.39605,3273
114.270592,30.594641,387
114.277712,30.407732,2452
114.277712,30.575172,34867
114.277712,30.80102,5929
114.281272,30.347376,15
114.281272,30.581012,35306
114.281272,30.62774,21273
114.284832,30.536232,84
114.284832,30.80102,215
114.288392,30.37074,429
114.288392,30.433043,569
114.288392,30.487558,8332
114.288392,30.802967,2
114.291951,30.341535,2019
114.291951,30.528444,3260
114.291951,30.594641,19845
114.295511,30.752346,15
114.295511,30.939255,108
114.299071,30.711459,116
114.302631,30.623846,7497
114.302631,30.876952,2441
114.306191,30.466141,8382
114.306191,30.750399,2499
114.309751,30.456406,74
114.309751,30.464194,857
114.313311,30.586853,15
114.316871,30.534285,1751
114.316871,30.779603,1903
114.320431,30.571278,4196
114.320431,30.656944,4
114.320431,30.69199,2805
114.323991,30.440831,3017
114.323991,30.604376,29
114.323991,30.7173,5433
114.327551,30.32596,291
114.327551,30.508975,207
114.331111,30.468088,551
114.331111,31.040497,24
114.334671,30.337641,1685
114.334671,30.621899,1000
114.334671,30.812702,3
114.334671,31.003505,484
114.338231,30.378528,712
114.341791,30.30649,1
114.345351,30.448619,1
114.345351,30.522603,55307
114.345351,30.530391,96864
114.34891,31.100853,5281
114.35247,30.070907,109
114.35603,30.54402,57
114.35603,30.878899,6322
114.35959,30.538179,3820
114.36315,30.878899,17172
114.36671,30.401891,51608
114.36671,30.561543,352
114.37027,30.582959,1329
114.37027,30.715353,393
114.37027,30.875005,903
114.37383,30.639421,7491
114.37739,30.886686,3103
114.38451,31.034656,768
114.38451,31.287762,32
114.38807,30.491452,8892
114.38807,30.647209,108
114.39163,30.438884,1157
114.39163,30.473929,7491
114.39519,30.623846,17054
114.39519,30.876952,24
114.39875,30.547914,311
114.39875,30.723141,15
114.40231,30.4603,11896
114.40231,30.623846,5476
114.40231,30.75624,36
114.40231,30.853588,406
114.405869,30.625793,3940
114.409429,30.312331,2
114.409429,30.542073,222
114.409429,30.596588,128
114.409429,30.764027,8
114.416549,30.436937,2972
114.416549,30.612164,6139
114.420109,30.505081,2633
114.420109,30.559596,1
114.423669,30.405785,1022
114.423669,30.471982,4211
114.423669,30.658891,1129
114.427229,30.084536,270
114.427229,30.399944,5633
114.430789,30.728982,196
114.430789,31.153421,939
114.434349,30.645262,1160
114.434349,30.82049,1
114.437909,30.413573,44
114.437909,30.507028,18197
114.448589,30.633581,8
114.448589,30.855535,1702
114.452149,30.561543,2182
114.459269,30.397997,869
114.462828,30.43499,6461
114.462828,30.598535,3088
114.466388,30.429149,447
114.466388,30.495346,8
114.469948,30.602429,529
114.477068,30.707565,5497
114.484188,30.053384,74
114.494868,30.911997,6845
114.498428,30.851641,985
114.512668,31.096959,12
114.519787,30.485611,117
114.523347,30.362952,18
114.526907,30.715353,665
114.530467,30.491452,2784
114.534027,30.711459,1048
114.541147,30.442778,29
114.541147,30.610217,8
114.544707,30.487558,1523
114.548267,30.645262,5
114.548267,30.69199,7
114.551827,30.503134,39
114.551827,30.557649,2
114.555387,30.715353,1714
114.558947,30.705618,2
114.566067,30.732876,142
